"Zipcode","Lat","Long"
"00705",18.14,-66.26
"00610",18.28,-67.14
"00611",18.28,-66.79
"00612",18.45,-66.73
"00601",18.16,-66.72
"00631",18.19,-66.82
"00602",18.38,-67.18
"00603",18.43,-67.15
"00604",18.43,-67.15
"00605",18.43,-67.15
"00703",18.25,-66.1
"00704",17.96,-66.22
"07675",40.98,-74.03
"07677",41.02,-74.05
"07885",40.89,-74.58
"07981",40.82,-74.41
"07999",40.82,-74.41
"08888",40.62,-74.76
"08889",40.6,-74.76
"07095",40.55,-74.28
"07481",40.99,-74.16
"10451",40.84,-73.87
"10452",40.84,-73.87
"10453",40.84,-73.87
"10454",40.84,-73.87
"10455",40.84,-73.87
"10456",40.84,-73.87
"10457",40.84,-73.87
"10458",40.84,-73.87
"10459",40.84,-73.87
"10460",40.84,-73.87
"10461",40.84,-73.87
"10462",40.84,-73.87
"10463",40.84,-73.87
"10464",40.84,-73.87
"10465",40.84,-73.87
"10466",40.84,-73.87
"10467",40.84,-73.87
"10468",40.84,-73.87
"10469",40.84,-73.87
"10470",40.84,-73.87
"10471",40.84,-73.87
"10472",40.84,-73.87
"10473",40.84,-73.87
"10474",40.84,-73.87
"10475",40.84,-73.87
"10499",40.84,-73.87
"10001",40.71,-73.99
"10002",40.71,-73.99
"10003",40.71,-73.99
"10004",40.71,-73.99
"10005",40.71,-73.99
"10006",40.71,-73.99
"10007",40.71,-73.99
"10008",40.71,-73.99
"10009",40.71,-73.99
"10010",40.71,-73.99
"10011",40.71,-73.99
"10012",40.71,-73.99
"10013",40.71,-73.99
"10014",40.71,-73.99
"10016",40.71,-73.99
"10017",40.71,-73.99
"10018",40.71,-73.99
"10019",40.71,-73.99
"10020",40.71,-73.99
"10021",40.77,-73.95
"10022",40.71,-73.99
"10023",40.71,-73.99
"10024",40.71,-73.99
"10025",40.71,-73.99
"10026",40.71,-73.99
"10027",40.71,-73.99
"10028",40.71,-73.99
"10029",40.71,-73.99
"10030",40.71,-73.99
"10031",40.71,-73.99
"10032",40.71,-73.99
"10033",40.71,-73.99
"10034",40.71,-73.99
"00613",18.45,-66.73
"00614",18.45,-66.73
"00714",17.97,-66.06
"00616",18.4,-66.66
"00617",18.45,-66.53
"00794",18.18,-66.3
"00622",17.99,-67.15
"00623",18.08,-67.14
"00627",18.48,-66.84
"00729",18.37,-65.9
"00979",18.4,-65.98
"00981",18.4,-65.98
"00982",18.4,-65.98
"00983",18.4,-65.98
"00984",18.4,-65.98
"00985",18.4,-65.98
"00986",18.4,-65.98
"00987",18.4,-65.98
"00988",18.4,-65.98
"00736",18.11,-66.16
"00739",18.17,-66.15
"00769",18.08,-66.36
"00782",18.22,-66.22
"00783",18.34,-66.31
"09848",,
"10200",40.77,73.95
"09323",-44.25,33.53
"00659",18.48,-66.82
"00660",18.14,-67.12
"00791",18.15,-65.81
"00792",18.15,-65.81
"00662",18.5,-67.02
"00664",18.22,-66.59
"00795",18.05,-66.5
"00777",18.22,-65.91
"00728",17.98,-66.6
"00725",18.23,-66.03
"00726",18.23,-66.03
"00727",18.23,-66.03
"00737",18.11,-66.16
"00735",18.26,-65.64
"00742",18.27,-65.65
